Date,BTC_returns,BTC_binary,BTC_forecast
2024-04-14,0.027177838359652595,1,1
2024-04-15,-0.034142357265650736,0,0
2024-04-16,0.005887733504845949,1,1
2024-04-17,-0.03944013635268473,0,1
2024-04-18,0.03578335689015377,1,0
2024-04-19,0.005481795516879773,1,1
2024-04-20,0.017590332258871744,1,1
2024-04-21,8.623266280816111e-06,1,1
2024-04-22,0.028921107802987844,1,1
2024-04-23,-0.0060659102786441155,0,0
2024-04-24,-0.031987382178456425,0,1
2024-04-25,0.003247026462604552,1,1
2024-04-26,-0.0112922286061935,0,0
2024-04-27,-0.004830326982856015,0,1
2024-04-28,-0.0054104835682718955,0,0
2024-04-29,0.01184087991784355,1,0
2024-04-30,-0.05001096044843889,0,0
2024-05-01,-0.03802462420886077,0,1
2024-05-02,0.011918793070569533,1,1
2024-05-03,0.06470302287768459,1,0
2024-05-04,0.016062304624168355,1,1
2024-05-05,0.0018775421789631874,1,1
2024-05-06,-0.013228925826407556,0,0
2024-05-07,-0.013506014942723965,0,1
2024-05-08,-0.01795879707433945,0,0
2024-05-09,0.030738468090238502,1,1
2024-05-10,-0.03605320162773862,0,0
2024-05-11,0.0004276316492815013,1,1
2024-05-12,0.010817744191257805,1,1
2024-05-13,0.02368242529478004,1,0
2024-05-14,-0.021649003306001613,0,0
2024-05-15,0.0751737363767182,1,0
2024-05-16,-0.014670613912531216,0,0
2024-05-17,0.027420621471134998,1,1
2024-05-18,-0.0016232991167343114,0,0
2024-05-19,-0.009582127827459264,0,0
2024-05-20,0.07804884599558704,1,1
2024-05-21,-0.018171328468722492,0,1
2024-05-22,-0.013994914206095221,0,1
2024-05-23,-0.017305602037514634,0,0
2024-05-24,0.008538222574340226,1,1
2024-05-25,0.010803502670095222,1,1
2024-05-26,-0.011298795781301996,0,0
2024-05-27,0.01355702215532939,1,0
2024-05-28,-0.014949501292044975,0,0
2024-05-29,-0.010906250863507161,0,0
2024-05-30,0.01034331070492378,1,0
2024-05-31,-0.011881992919902995,0,0
2024-06-01,0.0033586018124664996,1,1
2024-06-02,-1.8002902599123516e-05,0,1
2024-06-03,0.015410024226145236,1,1
2024-06-04,0.025111793506457758,1,0
2024-06-05,0.00808303741651284,1,1
2024-06-06,-0.004344658828823844,0,1
2024-06-07,-0.020388123797123736,0,1
2024-06-08,-0.0006508486697541782,0,0
2024-06-09,0.004871991904252138,1,1
2024-06-10,-0.0015526617078359672,0,0
2024-06-11,-0.032006902502156986,0,0
2024-06-12,0.014109198885703833,1,0
2024-06-13,-0.021841383722223218,0,1
2024-06-14,-0.010917884336799966,0,0
2024-06-15,0.0027899586321176173,1,1
2024-06-16,0.006773846508098869,1,0
2024-06-17,-0.002587703951910103,0,1
2024-06-18,-0.019983811580388866,0,0
2024-06-19,-0.0030832222994838787,0,0
2024-06-20,-0.0016064796011104887,0,1
2024-06-21,-0.011198244365383747,0,1
2024-06-22,0.0018466390078755168,1,1
2024-06-23,-0.016370480786393027,0,1
2024-06-24,-0.04614316624851034,0,1
2024-06-25,0.025089189014368074,1,0
2024-06-26,-0.015225380185519222,0,1
2024-06-27,0.013825353458531753,1,1
2024-06-28,-0.020721165868020086,0,1
2024-06-29,0.009248055201046546,1,1
2024-06-30,0.029274097229099905,1,0
2024-07-01,0.002038806786655245,1,1
2024-07-02,-0.01215453293394797,0,0
2024-07-03,-0.031011111688702075,0,0
2024-07-04,-0.05246046327616427,0,1
2024-07-05,-0.007383346646214428,0,0
2024-07-06,0.02827784241902398,1,1
2024-07-07,-0.040740420809639244,0,0
2024-07-08,0.015339126256471713,1,0
2024-07-09,0.023545604290392763,1,1
2024-07-10,-0.005583979328165345,0,0
2024-07-11,-0.0066860860429079905,0,1
2024-07-12,0.009578148824491928,1,1
2024-07-13,0.02271446610847283,1,1
2024-07-14,0.026921989418961845,1,0
2024-07-15,0.06457837119729937,1,0
2024-07-16,0.0049417419837483045,1,0
2024-07-17,-0.014697745325894074,0,0
2024-07-18,-0.001561447004345129,0,1
2024-07-19,0.041759132036171875,1,1
2024-07-20,0.007200120012001321,1,1
2024-07-21,0.015272276003738927,1,0
2024-07-22,-0.009291085469536275,0,1
2024-07-23,-0.023633237038257815,0,1
2024-07-24,-0.00849323457697837,0,0
2024-07-25,0.006484795643661334,1,1
2024-07-26,0.0320371064111753,1,1
2024-07-27,-0.00016919953012906053,0,0
2024-07-28,0.005204686544961978,1,0
2024-07-29,-0.02146802309396001,0,0
2024-07-30,-0.008934532749946156,0,1
2024-07-31,-0.023569227050220576,0,0
2024-08-01,0.011233830537847433,1,0
2024-08-02,-0.05899698289408972,0,0
2024-08-03,-0.013014011925201907,0,1
2024-08-04,-0.04179693594466638,0,0
2024-08-05,-0.07121937380719046,0,0
2024-08-06,0.03708337891930613,1,1
2024-08-07,-0.01584823536320812,0,0
2024-08-08,0.11883431252058596,1,1
2024-08-09,-0.013747043696631933,0,1
2024-08-10,0.0014057006156844576,1,1
2024-08-11,-0.03629009556409346,0,0
2024-08-12,0.0107992169992841,1,0
2024-08-13,0.02090278404977952,1,0
2024-08-14,-0.031421844400999266,0,0
2024-08-15,-0.019465985179111134,0,1
2024-08-16,0.023175450712934476,1,0
2024-08-17,0.010486525598475405,1,1
2024-08-18,-0.017895518371464747,0,0
2024-08-19,0.017306107499313272,1,1
2024-08-20,-0.007145200501358473,0,1
2024-08-21,0.03630049242719502,1,1
2024-08-22,-0.012757368324922358,0,1
2024-08-23,0.06064346268308651,1,0
2024-08-24,0.0018703179587378216,1,0
2024-08-25,0.0009818100937060148,1,0
